1, 1000, 7.770935, 1.973958
1, 2000, 7.764389, 1.788314
1, 3000, 7.762212, 1.922512
1, 4000, 7.761122, 2.406373
1, 5000, 7.760468, 2.371320
1, 6000, 7.760033, 2.378773
1, 7000, 7.759721, 2.303537
2, 1000, 7.770935, 3.489614
2, 2000, 7.764389, 4.169089
2, 3000, 7.762212, 4.146925
2, 4000, 7.761122, 4.376142
2, 5000, 7.760468, 4.486243
2, 6000, 7.760033, 4.404058
2, 7000, 7.759721, 4.319299
4, 1000, 7.770935, 6.447901
4, 2000, 7.764389, 7.400046
4, 3000, 7.762212, 7.196616
4, 4000, 7.761122, 7.525475
4, 5000, 7.760468, 7.610061
4, 6000, 7.760033, 7.770538
4, 7000, 7.759721, 8.162035
8, 1000, 7.770935, 10.093082
8, 2000, 7.764389, 13.944469
8, 3000, 7.762212, 15.084177
8, 4000, 7.761122, 14.658560
8, 5000, 7.760468, 15.529670
8, 6000, 7.760033, 15.449727
8, 7000, 7.759721, 15.434494
12, 1000, 7.770935, 12.440727
12, 2000, 7.764389, 18.692861
12, 3000, 7.762212, 19.298897
12, 4000, 7.761122, 21.920168
12, 5000, 7.760468, 21.511175
12, 6000, 7.760033, 21.897806
12, 7000, 7.759721, 22.817794
16, 1000, 7.770935, 14.889424
16, 2000, 7.764389, 21.750291
16, 3000, 7.762212, 23.814440
16, 4000, 7.761122, 25.777961
16, 5000, 7.760468, 25.610478
16, 6000, 7.760033, 25.716597
16, 7000, 7.759721, 26.626839
24, 1000, 7.770935, 20.543607
24, 2000, 7.764389, 28.512238
24, 3000, 7.762212, 31.027442
24, 4000, 7.761122, 33.665908
24, 5000, 7.760468, 35.548746
24, 6000, 7.760033, 36.820996
24, 7000, 7.759721, 37.998169
32, 1000, 7.770935, 22.837659
32, 2000, 7.764389, 31.468885
32, 3000, 7.762212, 33.646011
32, 4000, 7.761122, 34.982987
32, 5000, 7.760468, 38.428516
32, 6000, 7.760033, 37.550553
32, 7000, 7.759721, 40.463025
